trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.8, 'e': 0.5899999999999996}",20,0,-86.07448541575414,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
83,False,"{'a': 0.8, 'e': 0.5849999999999996}",20,13,16.057670305171605,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.8, 'e': 0.5799999999999996}",30,1,-151.44992301859028,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 2}",1
85,False,"{'a': 0.8, 'e': 0.5749999999999996}",30,0,-73.90540673729961,"{0: 24, 1: 0, 2: 3, 3: 2, 4: 1}",0
86,False,"{'a': 0.8, 'e': 0.5699999999999996}",25,12,-24.55545310848872,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.8, 'e': 0.5649999999999996}",25,0,-53.94778481721832,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
88,False,"{'a': 0.8, 'e': 0.5599999999999996}",35,0,-272.4138302207012,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 6}",0
89,False,"{'a': 0.8, 'e': 0.5549999999999996}",25,10,-100.30433339596709,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 2}",1
90,False,"{'a': 0.8, 'e': 0.5499999999999996}",25,7,-39.85461077528047,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 0}",1
91,False,"{'a': 0.8, 'e': 0.5449999999999996}",20,0,-42.13586274008573,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
92,False,"{'a': 0.8, 'e': 0.5399999999999996}",20,0,2.8742025929662747,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.8, 'e': 0.5349999999999996}",20,3,-8.5528181081802,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.8, 'e': 0.5299999999999996}",25,18,-0.19881093151818963,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
